"","id","GDPINH_2016"
"761","ES230",25600
"762","ES24",26000
"763","ES241",27000
"764","ES242",24000
"765","ES243",26000
"766","ES3",32800
"767","ES30",32800
"768","ES300",32800
"769","ES4",20000
"770","ES41",22400
"771","ES411",18700
"772","ES412",26900
"773","ES413",19800
"774","ES414",25800
"775","ES415",19600
"776","ES416",21900
"777","ES417",24200
"778","ES418",24400
"779","ES419",19600
"780","ES42",18800
"781","ES421",19100
"782","ES422",19600
"783","ES423",20900
"784","ES424",18300
"785","ES425",17400
"786","ES43",17100
"787","ES431",16800
"788","ES432",17600
"789","ES5",25600
"790","ES51",28700
"791","ES511",28700
"792","ES512",28000
"793","ES513",28400
"794","ES514",29300
"795","ES52",20900
"796","ES521",18300
"797","ES522",25100
"798","ES523",21900
"799","ES53",26100
"800","ES531",23900
"801","ES532",27100
"802","ES533",20000
"803","ES6",18000
"804","ES61",17700
"805","ES611",18500
"806","ES612",16700
"807","ES613",17100
"808","ES614",17300
"809","ES615",17800
"810","ES616",16900
"811","ES617",17300
"812","ES618",18900
"813","ES62",20000
"814","ES620",20000
"815","ES63",19300
"816","ES630",19300
"817","ES64",17800
"818","ES640",17800
"819","ES7",19600
"820","ES70",19600
"821","ES703",15300
"822","ES704",20200
"823","ES705",18800
"824","ES706",17300
"825","ES707",17300
"826","ES708",22300
"827","ES709",20200
"828","EU27_2020",28200
"829","FI",39600
"830","FI1",39500
"831","FI19",35000
"832","FI193",33100
"833","FI194",30800
"834","FI195",38400
"835","FI196",35300
"836","FI197",36300
"837","FI1B",52100
"838","FI1B1",52100
"839","FI1C",34800
"840","FI1C1",36400
"841","FI1C2",32400
"842","FI1C3",32200
"843","FI1C4",34600
"844","FI1C5",36700
"845","FI1D",32800
"846","FI1D1",30700
"847","FI1D2",32700
"848","FI1D3",30600
"849","FI1D5",34800
"850","FI1D7",36300
"851","FI1D8",28800
"852","FI1D9",33200
"853","FI2",47000
"854","FI20",47000
"855","FI200",47000
"856","FR",33400
"857","FR1",56400
"858","FR10",56400
"859","FR101",100300
"860","FR102",29000
"861","FR103",40200
"862","FR104",38700
"863","FR105",102300
"864","FR106",38900
"865","FR107",38800
"866","FR108",29500
"867","FRB",27500
"868","FRB0",27500
"869","FRB01",24900
"870","FRB02",25400
"871","FRB03",23200
"872","FRB04",29300
"873","FRB05",25100
"874","FRB06",31200
"875","FRC",26400
"876","FRC1",27100
"877","FRC11",32900
"878","FRC12",23200
"879","FRC13",25000
"880","FRC14",23800
"881","FRC2",25500
